,time (ms),velocity (rpm),target (rpm)
307,3184,57.91,95
308,3194,57.68,95
309,3204,57.49,95
310,3214,57.12,95
311,3224,56.83,95
312,3234,56.38,95
313,3244,56.23,95
314,3254,55.89,95
315,3264,55.62,95
316,3274,55.19,95
317,3284,54.85,95
318,3294,54.56,95
319,3304,54.33,95
320,3314,54.14,95
321,3324,53.78,95
322,3334,53.49,95
323,3344,53.05,95
324,3354,52.89,95
325,3364,52.56,95
326,3374,52.49,95
327,3384,52.24,95
328,3394,52.02,95
329,3404,51.65,95
330,3414,51.34,95
331,3424,51.09,95
332,3434,50.67,95
333,3444,50.34,95
334,3454,49.86,95
335,3464,49.68,95
336,3474,49.53,95
337,3484,49.41,95
338,3494,49.1,95
339,3504,48.65,95
340,3514,48.28,95
341,3524,48.18,95
342,3534,47.9,95
343,3544,47.67,95
344,3554,47.06,95
345,3564,46.78,95
346,3574,46.55,95
347,3584,46.57,95
348,3594,46.38,95
349,3604,46.02,95
350,3614,45.72,95
351,3624,45.48,95
352,3634,45.29,95
353,3644,44.92,95
354,3654,44.63,95
355,3664,44.38,95
356,3674,44.19,95
357,3684,44.03,95
358,3694,43.69,95
359,3704,43.41,95
360,3714,43.19,95
361,3724,43.22,95
362,3734,43.03,95
363,3744,42.67,95
364,3754,42.17,95
365,3764,41.76,95
366,3774,41.43,95
367,3784,41.16,95
368,3794,40.95,95
369,3804,40.77,95
370,3814,40.63,95
371,3824,40.51,95
372,3834,40.41,95
373,3844,40.13,95
374,3854,39.69,95
375,3864,39.33,95
376,3874,39.25,95
377,3884,39.18,95
378,3894,38.92,95
379,3904,38.7,95
380,3914,38.32,95
381,3924,38.01,95
382,3934,37.55,95
383,3944,37.59,95
384,3954,37.63,95
385,3964,37.66,95
386,3974,37.26,95
387,3984,36.73,95
388,3994,36.31,95
389,4004,36.17,95
390,4014,36.19,95
391,4024,36,95
392,4034,35.64,95
393,4044,35.21,95
394,4054,34.86,95
395,4064,34.57,95
396,4074,34.55,95
397,4084,34.32,95
398,4094,34.14,95
399,4104,33.57,95
400,4114,33.32,95
401,4124,32.9,95
402,4134,32.78,95
403,4144,32.67,95
404,4154,32.59,95
405,4164,32.31,95
406,4174,32.09,95
407,4184,31.9,95
408,4194,31.76,95
409,4204,31.63,95
410,4214,31.33,95
